# 《营造法式》彩画作实体识别训练集
# 标注格式：字	标签（Tab分隔），句子间空行
# 实体标签说明：参考用户提供的彩画作实体分类体系

五	B-SYS
彩	I-SYS
遍	I-SYS
装	I-SYS
，	O
梁	B-CAR
上	O
用	O
石	B-COL_C
青	I-COL_C
为	O
地	O
，	O
描	O
卷	B-PAT
草	I-PAT
纹	O
。	O

碾	B-SYS
玉	I-SYS
装	I-SYS
，	O
柱	B-CAR
枋	B-CAR
以	O
石	B-COL_G
绿	I-COL_G
为	O
主	O
，	O
间	O
施	O
白	B-COL_W
矾	I-COL_W
打	B-PRO_BAS
底	I-PRO_BAS
。	O

青	B-SYS
绿	I-SYS
装	I-SYS
，	O
斗	B-CAR
拱	I-CAR
用	O
石	B-COL_C
青	I-COL_C
叠	B-PRO_COL
晕	I-PRO_COL
，	O
贴	O
真	B-COL_GD
金	I-COL_GD
于	O
拱	B-CAR
眼	I-CAR
。	O

解	B-SYS
绿	I-SYS
装	I-SYS
，	O
阑	B-CAR
额	I-CAR
涂	O
朱	B-COL_R
红	I-COL_R
，	O
以	O
墨	B-COL_BK
笔	B-TOOL_DRW
勾	O
云	B-DEC
纹	I-DEC
。	O

丹	B-SYS
粉	I-SYS
装	I-SYS
，	O
柱	B-CAR
头	I-CAR
用	O
丹	B-COL_R
砂	I-COL_R
上	B-PRO_COL
色	I-PRO_COL
，	O
点	O
宝	B-DEC
珠	I-DEC
纹	O
。	O

黄	B-SYS
土	I-SYS
刷	I-SYS
饰	I-SYS
，	O
椽	B-CAR
上	O
涂	O
黄	O
土	O
，	O
以	O
赭	B-COL_R
石	I-COL_R
勾	O
边	O
。	O

杂	B-SYS
间	I-SYS
装	I-SYS
，	O
梁	B-CAR
端	I-CAR
用	O
石	B-COL_G
绿	I-COL_G
、	O
朱	B-COL_R
红	I-COL_R
相	O
间	O
，	O
画	O
缠	B-FIT
枝	I-FIT
牡	B-PAT
丹	I-PAT
。	O

凡	O
彩	B-SYS
画	I-SYS
装	I-SYS
，	O
先	O
刷	B-PRO_BAS
地	I-PRO_BAS
找	B-PRO_BAS
平	I-PRO_BAS
，	O
再	O
研	B-PRO_PREP
碎	I-PRO_PREP
颜	O
料	O
调	B-PRO_PREP
合	I-PRO_PREP
。	O

五	B-SYS
彩	I-SYS
遍	I-SYS
装	I-SYS
之	O
枋	B-CAR
心	I-CAR
，	O
以	O
龙	B-DEC
纹	I-DEC
为	O
饰	O
，	O
贴	B-COL_GD
金	I-COL_GD
于	O
边	O
缘	O
。	O

碾	B-SYS
玉	I-SYS
装	I-SYS
，	O
铺	B-CAR
作	I-CAR
用	O
石	B-COL_C
青	I-COL_C
、	O
石	B-COL_G
绿	I-COL_G
叠	B-PRO_COL
晕	I-PRO_COL
，	O
描	O
如	B-DEC
意	I-DEC
纹	O
。	O

青	B-SYS
绿	I-SYS
装	I-SYS
，	O
檐	B-CAR
下	O
斗	B-CAR
拱	I-CAR
，	O
用	O
佛	B-COL_C
青	I-COL_C
填	B-PRO_COL
色	I-PRO_COL
，	O
画	O
宝	B-PAT
相	I-PAT
花	I-PAT
。	O

解	B-SYS
绿	I-SYS
装	I-SYS
，	O
普	B-CAR
拍	I-CAR
枋	I-CAR
涂	O
绿	B-COL_G
青	I-COL_G
，	O
以	O
铅	B-COL_W
粉	I-COL_W
点	O
白	O
花	O
。	O

丹	B-SYS
粉	I-SYS
装	I-SYS
，	O
柱	B-CAR
身	O
用	O
银	B-COL_R
朱	I-COL_R
，	O
以	O
煤	B-COL_BK
烟	I-COL_BK
勾	O
火	B-DEC
纹	I-DEC
。	O

黄	B-SYS
土	I-SYS
刷	I-SYS
饰	I-SYS
，	O
梁	B-CAR
上	O
涂	O
黄	O
土	O
，	O
用	O
藤	B-COL_Y
黄	I-COL_Y
点	O
梅	B-PAT
花	I-PAT
。	O

杂	B-SYS
间	I-SYS
装	I-SYS
，	O
斗	B-CAR
口	I-CAR
用	O
紫	B-COL_P
矿	I-COL_P
、	O
石	B-COL_Y
黄	I-COL_Y
相	O
间	O
，	O
画	O
回	B-DEC
纹	I-DEC
。	O

凡	O
五	B-SYS
彩	I-SYS
遍	I-SYS
装	I-SYS
，	O
须	O
先	O
打	B-PRO_BAS
底	I-PRO_BAS
固	B-PRO_BAS
色	I-PRO_BAS
，	O
再	O
起	B-PRO_SKET
稿	I-PRO_SKET
勾	B-PRO_SKET
线	I-PRO_SKET
。	O

碾	B-SYS
玉	I-SYS
装	I-SYS
，	O
枋	B-CAR
心	I-CAR
用	O
翡	B-COL_G
翠	I-COL_G
绿	O
，	O
贴	O
金	B-COL_GD
箔	I-COL_GD
于	O
边	O
缘	O
。	O

青	B-SYS
绿	I-SYS
装	I-SYS
，	O
柱	B-CAR
头	I-CAR
用	O
群	B-COL_C
青	I-COL_C
，	O
以	O
雌	B-COL_Y
黄	I-COL_Y
画	O
莲	B-FIT
座	I-FIT
。	O

解	B-SYS
绿	I-SYS
装	I-SYS
，	O
梁	B-CAR
上	O
用	O
铜	B-COL_G
绿	I-COL_G
，	O
以	O
白	B-COL_W
垩	I-COL_W
画	O
竹	B-PAT
叶	I-PAT
。	O

丹	B-SYS
粉	I-SYS
装	I-SYS
，	O
斗	B-CAR
拱	I-CAR
用	O
赤	B-COL_R
石	I-COL_R
脂	I-COL_R
，	O
以	O
石	B-COL_BK
墨	I-COL_BK
勾	O
方	B-DEC
胜	I-DEC
纹	O
。	O

黄	B-SYS
土	I-SYS
刷	I-SYS
饰	I-SYS
，	O
椽	B-CAR
上	O
涂	O
黄	O
土	O
，	O
用	O
槐	B-COL_Y
黄	I-COL_Y
点	O
山	B-PAT
茶	I-PAT
。	O

杂	B-SYS
间	I-SYS
装	I-SYS
，	O
阑	B-CAR
额	I-CAR
用	O
石	B-COL_C
青	I-COL_C
、	O
雄	B-COL_Y
黄	I-COL_Y
相	O
间	O
，	O
画	O
龟	B-FIT
背	I-FIT
纹	O
。	O

凡	O
碾	B-SYS
玉	I-SYS
装	I-SYS
，	O
必	B-RULE
依	I-RULE
规	O
格	O
，	O
广	B-RULE
三	I-RULE
尺	I-RULE
者	O
用	O
缠	B-FIT
枝	I-FIT
纹	O
。	O

五	B-SYS
彩	I-SYS
遍	I-SYS
装	I-SYS
，	O
铺	B-CAR
作	I-CAR
用	O
金	B-COL_GD
粉	I-COL_GD
描	B-PRO_SKET
边	I-PRO_SKET
，	O
画	O
石	B-PAT
榴	I-PAT
纹	O
。	O

青	B-SYS
绿	I-SYS
装	I-SYS
，	O
柱	B-CAR
枋	B-CAR
用	O
空	B-COL_C
青	I-COL_C
，	O
以	O
石	B-COL_W
膏	I-COL_W
点	O
雪	O
花	O
。	O

解	B-SYS
绿	I-SYS
装	I-SYS
，	O
斗	B-CAR
拱	I-CAR
用	O
绿	B-COL_G
矾	I-COL_G
，	O
以	O
紫	B-COL_P
草	I-COL_P
勾	O
